Resource Name	Resource Description	Data Description	Association	Attribute	Attribute Class	Number of Genes	Number of Attributes	Resource URL	Data URL	Readme URL	Download Date	PMID	Citation	Notes	Directory	Attribute Table	Edge List	Gene-set Library	Attribute-set Library	Gene Similarity Matrix	Attribute Similarity Matrix	Gene List	Attribute List	Script
Human Phenotype Ontology (HPO)	The Human Phenotype Ontology is a controlled vocabulary of terms describing abnormal human phenotypes that are related to each other in a hierarchical network.  Each phenotype is annotated with diseases that cause the phenotypes and, if known, gene mutations that cause the diseases, using curated disease information obtained from OMIM, Orphanet and DECIPHER.	human phenotypes with phenotype-causing gene mutations from disease knowledgebases: OMIM, Orphanet, and DECIPHER	gene-phenotype associations by mapping disease genes to disease phenotypes	phenotype	phenotype	notspecified	notspecified	http://www.human-phenotype-ontology.org/	http://purl.obolibrary.org/obo/hp.obo;http://compbio.charite.de/hudson/job/hpo.annotations/lastStableBuild/artifact/misc/phenotype_annotation.tab;http://compbio.charite.de/hudson/job/hpo.annotations.monthly/lastStableBuild/artifact/annotation/ALL_SOURCES_ALL_FREQUENCIES_genes_to_phenotype.txt	http://www.human-phenotype-ontology.org/contao/index.php/downloads.html;http://www.human-phenotype-ontology.org/contao/index.php/annotation-guide.html	notspecified	24217912	Kohler, S., Doelken, S. C., Mungall, C. J., Bauer, S., Firth, H. V., Bailleul-Forestier, I., Black, G. C., Brown, D. L., Brudno, M., Campbell, J., FitzPatrick, D. R., Eppig, J. T., Jackson, A. P., Freson, K., Girdea, M., Helbig, I., Hurst, J. A., Jahn, J., Jackson, L. G., Kelly, A. M., Ledbetter, D. H., Mansour, S., Martin, C. L., Moss, C., Mumford, A., Ouwehand, W. H., Park, S. M., Riggs, E. R., Scott, R. H., Sisodiya, S., Van Vooren, S., Wapner, R. J., Wilkie, A. O., Wright, C. F., Vulto-van Silfhout, A. T., de Leeuw, N., de Vries, B. B., Washingthon, N. L., Smith, C. L., Westerfield, M., Schofield, P., Ruef, B. J., Gkoutos, G. V., Haendel, M., Smedley, D., Lewis, S. E. and P. N. Robinson. (2014) The Human Phenotype Ontology project: linking molecular biology and disease through phenotype data. Nucleic Acids Res. 42:D966-D974.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
LOCATE	LOCATE is a database of protein subcellular localization data from high-throughput immunofluorescence assays and from literature curation.	subcellular localization of proteins from low-throughput or high-throughput studies	gene-cellular compartment associations from low-throughput or high-throughput protein localization assays	cellular compartment	functional phrase	notspecified	notspecified	http://locate.imb.uq.edu.au/	http://locate.imb.uq.edu.au/info_files/LOCATE_mouse_v6_20081121.xml.zip;http://locate.imb.uq.edu.au/info_files/LOCATE_human_v6_20081121.xml.zip	http://locate.imb.uq.edu.au/downloads.shtml;http://locate.imb.uq.edu.au/info_files/LOCATE_v6.xsd	notspecified	17986452	Sprenger, J., Lynn Fink, J., Karunaratne, S., Hanson, K., Hamilton, N. A. and R. D. Teasdale. (2008) LOCATE: a mammalian protein subcellular localization database. Nucleic Acids Res. 36:D230-D233.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Graph of Medicine Electronic Health Records Textmining	The Graph of Medicine is a dataset of co-occurrence frequences for 1 million medical terms (drugs, diseases, operations, etc.) extracted from 20 million clinical notes written at Stanford Hospitals and Clinics over 19 years. 	co-occurrence frequencies for pairs of medical terms in electronic health records	gene-clinical term associations by co-occurrence frequency in electronic health records	clinical term	functional phrase	notspecified	notspecified	http://datadryad.org/resource/doi:10.5061/dryad.jp917	http://datadryad.org/bitstream/handle/10255/dryad.68981/1_Cofrequency_Counts.tar.gz?sequence=1	http://datadryad.org/bitstream/handle/10255/dryad.68981/README.txt?sequence=2	notspecified	notspecified	Finlayson, S. G., LePendu, P. and N. H. Shah. (2014) Building the graph of medicine from millions of clinical narratives. Scientific Data. 1:140032.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Gene Expression Omnibus (GEO)	The Gene Expression Omnibus is a database of functional genomic data obtained by microarray or next generation sequencing.  GEO can be mined for studies that measured gene expression profiles of cells or tissues in control and experimental conditions, where the experimental condition may be a disease, pharmacologic perturbation or genetic perturbation (over-expression, mutation, knockdown or knockout).  A signature of differentially expressed (DE) genes can be obtained from each set of control and experimental gene expression profiles by applying a statistical method such as the Characteristic Direction.  The signature of DE genes usually takes the form of a list of genes ordered by the direction (up-regulated or down-regulated) and significance of the gene expression change.  A number that indicates the relative significance of differential expression can be included with each gene.	mRnotspecified expression profiles for cell lines or tissues following disease, pharmacologic (small molecule), or genetic (knock-out, knock-down, mutation or over-expression) perturbation measured by microarray	gene-gene associations by differential expression of gene A following perturbation of gene B	gene	gene	notspecified	notspecified	http://www.ncbi.nlm.nih.gov/geo/	see notes	see notes	notspecified	23193258	Barrett, T. et al. (2013) NCBI GEO: archive for functional genomics data sets--update. Nucleic Acids Research. 41:D991-995.	data were downloaded using the geo api.  First, accession numbers for datasets and for control and experimental group samples must be obtained by manually searching the geo database.  Then data can be downloaded using the api.	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Gene Expression Omnibus (GEO) Co-expression	The Gene Expression Omnibus is a database of functional genomic data obtained by microarray or next generation sequencing.  GEO can be mined for studies that measured gene expression profiles of cells or tissues in control and experimental conditions, where the experimental condition may be a disease, pharmacologic perturbation or genetic perturbation (over-expression, mutation, knockdown or knockout).	mRnotspecified expression profiles for cell lines or tissues following disease, pharmacologic (small molecule), or genetic (knock-out, knock-down, mutation or over-expression) perturbation measured by microarray	gene-perturbation associations by differential expression of gene across perturbations	perturbation	perturbation	notspecified	notspecified	http://www.ncbi.nlm.nih.gov/geo/	see notes	see notes	notspecified	23193258	Barrett, T. et al. (2013) NCBI GEO: archive for functional genomics data sets--update. Nucleic Acids Research. 41:D991-995.	data were downloaded using the geo api.  First, accession numbers for datasets and for control and experimental group samples must be obtained by manually searching the geo database.  Then data can be downloaded using the api.	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Gene Expression Omnibus (GEO) Nosology	Nosology is a collection of signatures of differentially expressed genes for diseases extracted from the Gene Expression Omnibus.  The Gene Expression Omnibus is a database of functional genomic data obtained by microarray or next generation sequencing.  GEO can be mined for studies that measured gene expression profiles of cells or tissues in control and experimental conditions, where the experimental condition may be a disease, pharmacologic perturbation or genetic perturbation (over-expression, mutation, knockdown or knockout).	mRnotspecified expression profiles for cell lines or tissues following disease perturbation measured by microarray	gene-disease associations by differential expression of gene in disease state	disease	phenotype	notspecified	notspecified	http://www.ncbi.nlm.nih.gov/geo/	see notes	see notes	notspecified	23193258;19756046	Barrett, T. et al. (2013) NCBI GEO: archive for functional genomics data sets--update. Nucleic Acids Research. 41:D991-995.; Dudley, J. T., Tibshirani, R., Deshpande, T. and A. J. Butte. (2009) Disease signatures are robust across tissues and experiments. Mol Syst Biol. 5:307.	data were downloaded using the geo api.  Accession numbers for datasets and for control and experimental group samples were provided by the Dudley Lab.	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
KinomeScan	KinomeScan is a Library of Integrated Network-based Cellular Signatures (LINCS) project that is profiling percent inhibition of kinase activity by drugs using purified kinases in vitro.	percent inhibition of kinases by drugs measured using purified kinases	kinase-drug associations by percent inhibition of kinase by drug	drug	drug	notspecified	notspecified	http://lincs.hms.harvard.edu/data/kinomescan/	http://lincs.hms.harvard.edu/db/datasets/20020/results?search=&output_type=.csv	http://lincs.hms.harvard.edu/data/;https://docs.google.com/document/d/1R_d_1UWO0C9y1TceXpKIUkhjk08DfvP1D19txi4Tbas/edit	notspecified	15711537	Fabian, M.A. et al. (2005) A small molecule-kinase interaction map for clinical kinase inhibitors. Nature Biotechnology. 23:329-336.	data were downloaded using the template Data URL, using kinomescan dataset IDs extracted from http://lincs.hms.harvard.edu/db/datasets/	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Kinativ	KiNativ is a Library of Integrated Network-based Cellular Signatures (LINCS) project that is profiling percent inhibition of kinase activity by drugs using cell lysates.	percent inhibition of kinases by drugs measured in cell lysates	kinase-drug associations by percent inhibition of kinase by drug	drug	drug	notspecified	notspecified	http://lincs.hms.harvard.edu/resources/assays/	http://lincs.hms.harvard.edu/db/datasets/20087/results?search=&output_type=.csv	http://lincs.hms.harvard.edu/data/;https://docs.google.com/document/d/1R_d_1UWO0C9y1TceXpKIUkhjk08DfvP1D19txi4Tbas/edit	notspecified	21700206	Patricelli, M. P., Nomanbhoy, T. K., Wu, J., Brown, H., Zhou, D., Zhang, J., Jagannathan, S., Aban, A., Okerberg, E., Herring, C., Nordin, B., Weissig, H., Yang, Q., Lee, J. D., Gray, N. S. and J. W. Kozarich. (2011) In situ kinase profiling reveals functionally relevant properties of native kinases. Chem Biol. 18:699-710.	data were downloaded using the template Data URL, using kinativ dataset IDs extracted from http://lincs.hms.harvard.edu/db/datasets/	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Kinase-Substrate Interactions (KSI) Substrates	Kinase Enrichment Analysis (KEA) is a gene-set enrichment analysis tool tailored to test if query gene-sets are enriched with genes known to interact with kinases.  KEA utilizes a gene-set library with kinases labeling sets of interacting proteins.  Many of the interacting proteins are known substrates of the kinases, and many of the kinase-substrate interactions are annotated with phosphosite-level detail (the specific phosphorylated amino acid residue(s) are indicated).  Kinase-substrate interactions in KEA were obtained by curation of biomedical literature and integrated with other databases of kinase-substrate interactions, such as  Phospho.ELM (Dinkel, Nucleic Acids Research, 2011) and PhosphoSitePlus (Hornbeck, Nucleic Acids Research, 2012).	sets of protein substrates of kinases aggregated from low-throughput and high-throughput phosphoproteomics studies	kinase-substrate associations from low-throughput or high-throughput phosphoproteomics data	substrate	gene	notspecified	notspecified	http://amp.pharm.mssm.edu/lib/kea.jsp	http://amp.pharm.mssm.edu/Enrichr/geneSetLibrary?mode=text&libraryName=KEA	http://amp.pharm.mssm.edu/lib/keacommandline.jsp	notspecified	19176546	Lachmann, A. et al. (2009) KEA: kinase enrichment analysis. Bioinformatics. 25:684-686.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Kinase-Substrate Interactions (KSI) Kinases	Kinase Enrichment Analysis (KEA) is a gene-set enrichment analysis tool tailored to test if query gene-sets are enriched with genes known to interact with kinases.  KEA utilizes a gene-set library with kinases labeling sets of interacting proteins.  Many of the interacting proteins are known substrates of the kinases, and many of the kinase-substrate interactions are annotated with phosphosite-level detail (the specific phosphorylated amino acid residue(s) are indicated).  Kinase-substrate interactions in KEA were obtained by curation of biomedical literature and integrated with other databases of kinase-substrate interactions, such as  Phospho.ELM (Dinkel, Nucleic Acids Research, 2011) and PhosphoSitePlus (Hornbeck, Nucleic Acids Research, 2012).	sets of kinases that phosphorylate proteins aggregated from low-throughput and high-throughput phosphoproteomics studies	substrate-kinase associations from low-throughput or high-throughput phosphoproteomics data	kinase	gene	notspecified	notspecified	http://amp.pharm.mssm.edu/lib/kea.jsp	http://amp.pharm.mssm.edu/Enrichr/geneSetLibrary?mode=text&libraryName=KEA	http://amp.pharm.mssm.edu/lib/keacommandline.jsp	notspecified	19176546	Lachmann, A. et al. (2009) KEA: kinase enrichment analysis. Bioinformatics. 25:684-686.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Guide to Pharmacology Ligands	knowledgebase of drug targets and their ligands (endogenous, exogenous and synthetic) with expert curated annotations	curated ligand-receptor interactions	receptor-ligand associations by expert curation	ligand (protein or drug)	gene or small molecule	notspecified	notspecified	http://www.guidetopharmacology.org/	http://www.guidetopharmacology.org/DATA/interactions.csv	http://www.guidetopharmacology.org/DATA/file_descriptions.txt	notspecified	24234439	Pawson, A. J., Sharman, J. L., Benson, H. E., Faccenda, E., Alexander, S. P., Buneman, O. P., Davenport, A. P., McGrath, J. C., Peters, J. A., Southan, C., Spedding, M., Yu, W., Harmar, A. J., and NC-IUPHAR. (2014) The IUPHAR/BPS Guide to PHARMACOLOGY: an expert-driven knowledgebase of drug targets and their ligands. Nucleic Acids Res. 42:1098-1106.	file includes small molecule ligands, need to filter for proteins	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Guide to Pharmacology Receptors	knowledgebase of drug targets and their ligands (endogenous, exogenous and synthetic) with expert curated annotations	curated ligand-receptor interactions	ligand (endogenous proteins)-receptor associations by expert curation	receptor	gene	notspecified	notspecified	http://www.guidetopharmacology.org/	http://www.guidetopharmacology.org/DATA/interactions.csv	http://www.guidetopharmacology.org/DATA/file_descriptions.txt	notspecified	24234439	Pawson, A. J., Sharman, J. L., Benson, H. E., Faccenda, E., Alexander, S. P., Buneman, O. P., Davenport, A. P., McGrath, J. C., Peters, J. A., Southan, C., Spedding, M., Yu, W., Harmar, A. J., and NC-IUPHAR. (2014) The IUPHAR/BPS Guide to PHARMACOLOGY: an expert-driven knowledgebase of drug targets and their ligands. Nucleic Acids Res. 42:1098-1106.	file includes small molecule ligands, need to filter for proteins	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Stable isotope labeling by amino acids in cell culture (SILAC) Phosphoproteomics Collection	The SILAC Phosphoproteomics Collection is a collection of data from published SILAC experiments that measured protein phosphorylation levels in cell lines in control and experimental conditions	phosphorylation levels of proteins in cell lines before and after perturbation measured by SILAC	gene-perturbation associations by differential phosphorylation of gene product across perturbations	perturbation	perturbation	notspecified	notspecified	see notes	see notes	see notes	notspecified	see notes	see notes	un-published data collection created by Nick Fernandez at the Ma'ayan Lab	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Phosphosite Textmining Library	The Phosphosite Textmining Library is a set library with sets of biological terms extracted from abstracts of publications describing a particular phosphosite.	sets of biological terms mentioned in abstracts of publications describing phosphosites	gene-biological term associations by occurrence of biological term in abstracts of publications describing phosphosite on protein	biological term	functional phrase	notspecified	notspecified	see notes	see notes	see notes	notspecified	see notes	see notes	un-published data collection created by Nick Fernandez at the Ma'ayan Lab	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
The Cancer Genome Atlas	The Cancer Genome Atlas is a cancer profiling project that collects clinical and genomic data for cancer patients and tumor samples. Copy number variations, Dnotspecified methylations, mRnotspecified and miRnotspecified expression are profiled for most tumors. Whole genome sequencing and protein abundance are measured for a subset of tumors. Clinical data, such as survival and recurrence are also collected.	mRnotspecified expression profiles for tumor and normal tissue samples measured by Rnotspecified-seq	gene-tissue sample associations by differential expression of gene across tissue samples	tissue sample	tissue or cell line	notspecified	notspecified	https://tcga-data.nci.nih.gov/tcga/	https://tcga-data.nci.nih.gov/tcga/findArchives.htm	https://wiki.nci.nih.gov/display/TCGA/TCGA+Bulk+Download+User%27s+Guide;jsessionid=7BCF3B975163016B14289802F9847CA4;https://tcga-data.nci.nih.gov/annotations/	notspecified	24071849	Cancer Genome Atlas Research Network et al. (2013) The Cancer Genome Atlas Pan-Cancer analysis project. Nat Genet. 45:1113-1120.	choose data of interest using bulk download form	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Roadmap Epigenomics Histone Modifications	The Roadmap Epigenomics project is a genome mapping project that is measuring the genomic distribution of nucleoproteins such as histones, Dnotspecified binding factors, and accessory proteins, as well as the genomic pattern of reversible covalent modifications on Dnotspecified and nucleoproteins.  The goal of the Roadmap Epigenomics project is to create a set of reference epigenomic maps for stem cells, differentiated cells, and primary tissues. The project is mapping Dnotspecified methylation sites, histone modification sites, transcription factor binding sites, and chromatin accessibility sites. Rnotspecified transcripts are also measured by Rnotspecified-seq.	histone modification profiles for primary cells and tissues measured by ChIP-seq	gene-cell or tissue sample associations by differential histone modification of gene across cell and tissue types	cell or tissue sample (sample defined by cell or tissue type and histone modification)	tissue or cell line	notspecified	notspecified	http://www.roadmapepigenomics.org/	see notes	http://egg2.wustl.edu/roadmap/web_portal/processed_data.html	notspecified	25693563;20944595	Roadmap Epigenomics Consortium et al. (2015) Integrative analysis of 111 reference human epigenomes. Nature. 518:317-330.;Bernstein, B. E., Stamatoyannopoulos, J. A., Costello, J. F., Ren, B., Milosavljevic, A., Meissner, A., Kellis, M., Marra, M. A., Beaudet, A. L., Ecker, J. R., Farnham, P. J., Hirst, M., Lander, E. S., Mikkelsen, T. S. and J. A. Thomson. (2010) The NIH Roadmap Epigenomics Mapping Consortium. Nat Biotechnol. 28:1045-1048.	need to complete	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Roadmap Epigenomics Methylation	The Roadmap Epigenomics project is a genome mapping project that is measuring the genomic distribution of nucleoproteins such as histones, Dnotspecified binding factors, and accessory proteins, as well as the genomic pattern of reversible covalent modifications on Dnotspecified and nucleoproteins.  The goal of the Roadmap Epigenomics project is to create a set of reference epigenomic maps for stem cells, differentiated cells, and primary tissues. The project is mapping Dnotspecified methylation sites, histone modification sites, transcription factor binding sites, and chromatin accessibility sites. Rnotspecified transcripts are also measured by Rnotspecified-seq.	Dnotspecified methylation profiles for primary cells and tissues measured by bisulfite sequencing or MeDIP-seq or MRE-seq	gene-cell or tissue  associations by differential methylation of gene across cell and tissue types	cell or tissue	tissue or cell line	notspecified	notspecified	http://www.roadmapepigenomics.org/	see notes	http://egg2.wustl.edu/roadmap/web_portal/processed_data.html	notspecified	25693563;20944595	Roadmap Epigenomics Consortium et al. (2015) Integrative analysis of 111 reference human epigenomes. Nature. 518:317-330.;Bernstein, B. E., Stamatoyannopoulos, J. A., Costello, J. F., Ren, B., Milosavljevic, A., Meissner, A., Kellis, M., Marra, M. A., Beaudet, A. L., Ecker, J. R., Farnham, P. J., Hirst, M., Lander, E. S., Mikkelsen, T. S. and J. A. Thomson. (2010) The NIH Roadmap Epigenomics Mapping Consortium. Nat Biotechnol. 28:1045-1048.	need to complete	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Roadmap Epigenomics Dnotspecified Accessibility	The Roadmap Epigenomics project is a genome mapping project that is measuring the genomic distribution of nucleoproteins such as histones, Dnotspecified binding factors, and accessory proteins, as well as the genomic pattern of reversible covalent modifications on Dnotspecified and nucleoproteins.  The goal of the Roadmap Epigenomics project is to create a set of reference epigenomic maps for stem cells, differentiated cells, and primary tissues. The project is mapping Dnotspecified methylation sites, histone modification sites, transcription factor binding sites, and chromatin accessibility sites. Rnotspecified transcripts are also measured by Rnotspecified-seq.	Dnotspecified accessibility profiles for primary cells and tissues measured by Dnase-seq	gene-cell or tissue  associations by differential accessibility of gene across cell and tissue types	cell or tissue	tissue or cell line	notspecified	notspecified	http://www.roadmapepigenomics.org/	see notes	http://egg2.wustl.edu/roadmap/web_portal/processed_data.html	notspecified	25693563;20944595	Roadmap Epigenomics Consortium et al. (2015) Integrative analysis of 111 reference human epigenomes. Nature. 518:317-330.;Bernstein, B. E., Stamatoyannopoulos, J. A., Costello, J. F., Ren, B., Milosavljevic, A., Meissner, A., Kellis, M., Marra, M. A., Beaudet, A. L., Ecker, J. R., Farnham, P. J., Hirst, M., Lander, E. S., Mikkelsen, T. S. and J. A. Thomson. (2010) The NIH Roadmap Epigenomics Mapping Consortium. Nat Biotechnol. 28:1045-1048.	need to complete	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Roadmap Epigenomics mRnotspecified	The Roadmap Epigenomics project is a genome mapping project that is measuring the genomic distribution of nucleoproteins such as histones, Dnotspecified binding factors, and accessory proteins, as well as the genomic pattern of reversible covalent modifications on Dnotspecified and nucleoproteins.  The goal of the Roadmap Epigenomics project is to create a set of reference epigenomic maps for stem cells, differentiated cells, and primary tissues. The project is mapping Dnotspecified methylation sites, histone modification sites, transcription factor binding sites, and chromatin accessibility sites. Rnotspecified transcripts are also measured by Rnotspecified-seq.	mRnotspecified expression profiles for primary cells and tissues measured by Rnotspecified-seq	gene-cell or tissue  associations by differential expression of gene across cell and tissue types	cell or tissue	tissue or cell line	notspecified	notspecified	http://www.roadmapepigenomics.org/	see notes	http://egg2.wustl.edu/roadmap/web_portal/processed_data.html	notspecified	25693563;20944595	Roadmap Epigenomics Consortium et al. (2015) Integrative analysis of 111 reference human epigenomes. Nature. 518:317-330.;Bernstein, B. E., Stamatoyannopoulos, J. A., Costello, J. F., Ren, B., Milosavljevic, A., Meissner, A., Kellis, M., Marra, M. A., Beaudet, A. L., Ecker, J. R., Farnham, P. J., Hirst, M., Lander, E. S., Mikkelsen, T. S. and J. A. Thomson. (2010) The NIH Roadmap Epigenomics Mapping Consortium. Nat Biotechnol. 28:1045-1048.	need to complete	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Klijn mRnotspecified	Klijn et al. have collected gene expression, copy number variation, and mutation data for 675 cancer cell lines.	mRnotspecified expression profiles for cancer cell lines measured by Rnotspecified-seq	gene-cell line associations by differential expression of gene across cell lines	cell line	tissue or cell line	notspecified	notspecified	notspecified	http://www.nature.com/nbt/journal/v33/n3/extref/nbt.3080-S11.zip	http://www.nature.com/nbt/journal/v33/n3/extref/nbt.3080-S1.pdf	notspecified	25485619	Klijn, C. et al. (2015) A comprehensive transcriptional portrait of human cancer cell lines. Nat Biotechnol. 33:306-312.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Klijn MUT	Klijn et al. have collected gene expression, copy number variation, and mutation data for 675 cancer cell lines.	gene mutations in cancer cell lines measured by SNP microarray	gene-cell line associations by mutation of gene in cell line	cell line	tissue or cell line	notspecified	notspecified	notspecified	http://www.nature.com/nbt/journal/v33/n3/extref/nbt.3080-S13.zip	http://www.nature.com/nbt/journal/v33/n3/extref/nbt.3080-S1.pdf	notspecified	25485619	Klijn, C. et al. (2015) A comprehensive transcriptional portrait of human cancer cell lines. Nat Biotechnol. 33:306-312.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Klijn CNV	Klijn et al. have collected gene expression, copy number variation, and mutation data for 675 cancer cell lines.	gene-level copy number profiles for cancer cell lines measured by SNP microarray	gene-cell line associations by copy number variation of gene across cell lines	cell line	tissue or cell line	notspecified	notspecified	notspecified	http://www.nature.com/nbt/journal/v33/n3/extref/nbt.3080-S14.zip	http://www.nature.com/nbt/journal/v33/n3/extref/nbt.3080-S1.pdf	notspecified	25485619	Klijn, C. et al. (2015) A comprehensive transcriptional portrait of human cancer cell lines. Nat Biotechnol. 33:306-312.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
